repeat	subject_type	subject_id	source_rich_table	smpl	org	genomes	iter	rank	TAREAN_annotation	cons_len	size_pct	pdiv_mean	pdiv_median	pdiv_q05	pdiv_q95
SMPL=KA4|ORG=Aegilops_caudata_markgrafii|GENOMES=None|ITER=1|RANK=2|ORIG=CL186_TR_1_x_71nt	sample	KA4	projects/triticeae_F21FTSEUHT1241/samples/KA4/post_tarean/satminer/report/rich_table.tsv	KA4	Aegilops_caudata_markgrafii		1	2	Putative satellites (low confidence)	71	0.08	6.521052631578947	5.449999999999999	0.0	16.36
SMPL=KA4|ORG=Aegilops_caudata_markgrafii|GENOMES=None|ITER=1|RANK=2|ORIG=CL63_TR_1_x_121nt	sample	KA4	projects/triticeae_F21FTSEUHT1241/samples/KA4/post_tarean/satminer/report/rich_table.tsv	KA4	Aegilops_caudata_markgrafii		1	2	Putative satellites (low confidence)	121	0.41	4.616256157635468	4.4	0.0	11.1
SMPL=KA4|ORG=Aegilops_caudata_markgrafii|GENOMES=None|ITER=1|RANK=2|ORIG=CL68_TR_1_x_582nt	sample	KA4	projects/triticeae_F21FTSEUHT1241/samples/KA4/post_tarean/satminer/report/rich_table.tsv	KA4	Aegilops_caudata_markgrafii		1	2	Putative satellites (low confidence)	582	0.28	11.422857142857143	9.1	2.7	24.82999999999999
SMPL=KA4|ORG=Aegilops_caudata_markgrafii|GENOMES=None|ITER=1|RANK=2|ORIG=CL91_TR_1_x_74nt	sample	KA4	projects/triticeae_F21FTSEUHT1241/samples/KA4/post_tarean/satminer/report/rich_table.tsv	KA4	Aegilops_caudata_markgrafii		1	2	Putative satellites (low confidence)	74	0.34	6.935672514619883	6.8	0.0	14.2
SMPL=KA4|ORG=Aegilops_caudata_markgrafii|GENOMES=None|ITER=2|RANK=1|ORIG=CL109_TR_1_x_118nt	sample	KA4	projects/triticeae_F21FTSEUHT1241/samples/KA4/post_tarean/satminer/report/rich_table.tsv	KA4	Aegilops_caudata_markgrafii		2	1	Putative satellites (high confidence)	118	0.04	8.071428571428571	7.8	3.9	11.2
SMPL=KA4|ORG=Aegilops_caudata_markgrafii|GENOMES=None|ITER=2|RANK=1|ORIG=CL183_TR_1_x_163nt	sample	KA4	projects/triticeae_F21FTSEUHT1241/samples/KA4/post_tarean/satminer/report/rich_table.tsv	KA4	Aegilops_caudata_markgrafii		2	1	Putative satellites (high confidence)	163	0.04	1.161904761904762	0.0	0.0	3.6
SMPL=KA4|ORG=Aegilops_caudata_markgrafii|GENOMES=None|ITER=2|RANK=1|ORIG=CL1_TR_1_x_118nt	sample	KA4	projects/triticeae_F21FTSEUHT1241/samples/KA4/post_tarean/satminer/report/rich_table.tsv	KA4	Aegilops_caudata_markgrafii		2	1	Putative satellites (high confidence)	118	0.42	6.71042654028436	6.0	2.0	14.85
SMPL=KA4|ORG=Aegilops_caudata_markgrafii|GENOMES=None|ITER=2|RANK=1|ORIG=CL54_TR_1_x_323nt	sample	KA4	projects/triticeae_F21FTSEUHT1241/samples/KA4/post_tarean/satminer/report/rich_table.tsv	KA4	Aegilops_caudata_markgrafii		2	1	Putative satellites (high confidence)	323	0.03	8.069230769230769	7.1	2.84	17.559999999999995
SMPL=KA4|ORG=Aegilops_caudata_markgrafii|GENOMES=None|ITER=2|RANK=2|ORIG=CL208_TR_1_x_337nt	sample	KA4	projects/triticeae_F21FTSEUHT1241/samples/KA4/post_tarean/satminer/report/rich_table.tsv	KA4	Aegilops_caudata_markgrafii		2	2	Putative satellites (low confidence)	337	0.05	9.653846153846152	8.7	3.9	18.4
SMPL=KA4|ORG=Aegilops_caudata_markgrafii|GENOMES=None|ITER=2|RANK=4|ORIG=CL65_TR_1_x_488nt	sample	KA4	projects/triticeae_F21FTSEUHT1241/samples/KA4/post_tarean/satminer/report/rich_table.tsv	KA4	Aegilops_caudata_markgrafii		2	4	Putative satellites (low confidence)	488	0.05	8.707407407407407	7.1	0.7	21.9
SMPL=KA4|ORG=Aegilops_caudata_markgrafii|GENOMES=None|ITER=3|RANK=1|ORIG=CL1_TR_1_x_118nt	sample	KA4	projects/triticeae_F21FTSEUHT1241/samples/KA4/post_tarean/satminer/report/rich_table.tsv	KA4	Aegilops_caudata_markgrafii		3	1	Putative satellites (high confidence)	118	0.39	8.294300518134715	6.1	1.5800000000000003	25.19999999999999
SMPL=KA4|ORG=Aegilops_caudata_markgrafii|GENOMES=None|ITER=3|RANK=1|ORIG=CL3_TR_1_x_323nt	sample	KA4	projects/triticeae_F21FTSEUHT1241/samples/KA4/post_tarean/satminer/report/rich_table.tsv	KA4	Aegilops_caudata_markgrafii		3	1	Putative satellites (high confidence)	323	0.03	8.168750000000001	6.85	3.5250000000000004	16.25
SMPL=KA4|ORG=Aegilops_caudata_markgrafii|GENOMES=None|ITER=3|RANK=1|ORIG=CL7_TR_1_x_118nt	sample	KA4	projects/triticeae_F21FTSEUHT1241/samples/KA4/post_tarean/satminer/report/rich_table.tsv	KA4	Aegilops_caudata_markgrafii		3	1	Putative satellites (high confidence)	118	0.01	7.5	8.5	4.359999999999999	9.94
SMPL=KA5|ORG=Aegilops_caudata_markgrafii|GENOMES=None|ITER=1|RANK=1|ORIG=CL164_TR_1_x_320nt	sample	KA5	projects/triticeae_F21FTSEUHT1241/samples/KA5/post_tarean/satminer/report/rich_table.tsv	KA5	Aegilops_caudata_markgrafii		1	1	Putative satellites (high confidence)	320	0.05	4.0125	3.25	0.0	12.284999999999997
SMPL=KA5|ORG=Aegilops_caudata_markgrafii|GENOMES=None|ITER=1|RANK=1|ORIG=CL179_TR_1_x_312nt	sample	KA5	projects/triticeae_F21FTSEUHT1241/samples/KA5/post_tarean/satminer/report/rich_table.tsv	KA5	Aegilops_caudata_markgrafii		1	1	Putative satellites (high confidence)	312	0.01	5.8500000000000005	5.15	0.7249999999999999	11.825
SMPL=KA5|ORG=Aegilops_caudata_markgrafii|GENOMES=None|ITER=1|RANK=1|ORIG=CL45_TR_1_x_118nt	sample	KA5	projects/triticeae_F21FTSEUHT1241/samples/KA5/post_tarean/satminer/report/rich_table.tsv	KA5	Aegilops_caudata_markgrafii		1	1	Putative satellites (high confidence)	118	0.2	3.2979591836734694	2.5	0.0	10.999999999999982
SMPL=KA5|ORG=Aegilops_caudata_markgrafii|GENOMES=None|ITER=1|RANK=1|ORIG=CL54_TR_1_x_553nt	sample	KA5	projects/triticeae_F21FTSEUHT1241/samples/KA5/post_tarean/satminer/report/rich_table.tsv	KA5	Aegilops_caudata_markgrafii		1	1	Putative satellites (high confidence)	553	0.02	3.2555555555555555	3.3	1.3	5.06
SMPL=KA5|ORG=Aegilops_caudata_markgrafii|GENOMES=None|ITER=1|RANK=1|ORIG=CL81_TR_1_x_74nt	sample	KA5	projects/triticeae_F21FTSEUHT1241/samples/KA5/post_tarean/satminer/report/rich_table.tsv	KA5	Aegilops_caudata_markgrafii		1	1	Putative satellites (high confidence)	74	0.33	6.3527272727272734	6.3	0.2800000000000014	12.619999999999994
SMPL=KA5|ORG=Aegilops_caudata_markgrafii|GENOMES=None|ITER=1|RANK=2|ORIG=CL118_TR_1_x_663nt	sample	KA5	projects/triticeae_F21FTSEUHT1241/samples/KA5/post_tarean/satminer/report/rich_table.tsv	KA5	Aegilops_caudata_markgrafii		1	2	Putative satellites (low confidence)	663	0.11	6.011320754716982	5.4	0.92	15.059999999999988
SMPL=KA5|ORG=Aegilops_caudata_markgrafii|GENOMES=None|ITER=1|RANK=2|ORIG=CL85_TR_1_x_504nt	sample	KA5	projects/triticeae_F21FTSEUHT1241/samples/KA5/post_tarean/satminer/report/rich_table.tsv	KA5	Aegilops_caudata_markgrafii		1	2	Putative satellites (low confidence)	504	0.25	14.05609756097561	13.0	3.2300000000000004	27.37
SMPL=KA5|ORG=Aegilops_caudata_markgrafii|GENOMES=None|ITER=1|RANK=2|ORIG=CL96_TR_1_x_121nt	sample	KA5	projects/triticeae_F21FTSEUHT1241/samples/KA5/post_tarean/satminer/report/rich_table.tsv	KA5	Aegilops_caudata_markgrafii		1	2	Putative satellites (low confidence)	121	0.21	4.284112149532711	3.6	0.0	13.50999999999994
SMPL=KA5|ORG=Aegilops_caudata_markgrafii|GENOMES=None|ITER=2|RANK=1|ORIG=CL1_TR_1_x_118nt	sample	KA5	projects/triticeae_F21FTSEUHT1241/samples/KA5/post_tarean/satminer/report/rich_table.tsv	KA5	Aegilops_caudata_markgrafii		2	1	Putative satellites (high confidence)	118					
SMPL=KA5|ORG=Aegilops_caudata_markgrafii|GENOMES=None|ITER=2|RANK=1|ORIG=CL2_TR_1_x_553nt	sample	KA5	projects/triticeae_F21FTSEUHT1241/samples/KA5/post_tarean/satminer/report/rich_table.tsv	KA5	Aegilops_caudata_markgrafii		2	1	Putative satellites (high confidence)	553	0.16	3.630864197530864	3.8	0.0	6.7
SMPL=KA5|ORG=Aegilops_caudata_markgrafii|GENOMES=None|ITER=2|RANK=1|ORIG=CL3_TR_1_x_74nt	sample	KA5	projects/triticeae_F21FTSEUHT1241/samples/KA5/post_tarean/satminer/report/rich_table.tsv	KA5	Aegilops_caudata_markgrafii		2	1	Putative satellites (high confidence)	74					
SMPL=KA5|ORG=Aegilops_caudata_markgrafii|GENOMES=None|ITER=2|RANK=1|ORIG=CL50_TR_1_x_44nt	sample	KA5	projects/triticeae_F21FTSEUHT1241/samples/KA5/post_tarean/satminer/report/rich_table.tsv	KA5	Aegilops_caudata_markgrafii		2	1	Putative satellites (high confidence)	44	0.09	5.765909090909091	6.8	0.0	11.825
SMPL=KA5|ORG=Aegilops_caudata_markgrafii|GENOMES=None|ITER=2|RANK=1|ORIG=CL54_TR_1_x_324nt	sample	KA5	projects/triticeae_F21FTSEUHT1241/samples/KA5/post_tarean/satminer/report/rich_table.tsv	KA5	Aegilops_caudata_markgrafii		2	1	Putative satellites (high confidence)	324	0.01	1.842857142857143	1.6	0.39	3.119999999999999
SMPL=KA5|ORG=Aegilops_caudata_markgrafii|GENOMES=None|ITER=2|RANK=2|ORIG=CL110_TR_1_x_341nt	sample	KA5	projects/triticeae_F21FTSEUHT1241/samples/KA5/post_tarean/satminer/report/rich_table.tsv	KA5	Aegilops_caudata_markgrafii		2	2	Putative satellites (low confidence)	341	0.06	8.951724137931036	7.6	4.02	19.079999999999995
SMPL=KA5|ORG=Aegilops_caudata_markgrafii|GENOMES=None|ITER=2|RANK=2|ORIG=CL12_TR_1_x_319nt	sample	KA5	projects/triticeae_F21FTSEUHT1241/samples/KA5/post_tarean/satminer/report/rich_table.tsv	KA5	Aegilops_caudata_markgrafii		2	2	Putative satellites (low confidence)	319	0.04	10.916666666666666	4.800000000000001	2.235	32.485
SMPL=KA5|ORG=Aegilops_caudata_markgrafii|GENOMES=None|ITER=3|RANK=1|ORIG=CL18_TR_1_x_44nt	sample	KA5	projects/triticeae_F21FTSEUHT1241/samples/KA5/post_tarean/satminer/report/rich_table.tsv	KA5	Aegilops_caudata_markgrafii		3	1	Putative satellites (high confidence)	44	0.09	5.755813953488372	6.8	0.0	13.459999999999996
SMPL=KA5|ORG=Aegilops_caudata_markgrafii|GENOMES=None|ITER=3|RANK=1|ORIG=CL1_TR_1_x_118nt	sample	KA5	projects/triticeae_F21FTSEUHT1241/samples/KA5/post_tarean/satminer/report/rich_table.tsv	KA5	Aegilops_caudata_markgrafii		3	1	Putative satellites (high confidence)	118	0.56	7.1	5.9	1.0450000000000013	19.31
SMPL=KA5|ORG=Aegilops_caudata_markgrafii|GENOMES=None|ITER=3|RANK=1|ORIG=CL2_TR_1_x_553nt	sample	KA5	projects/triticeae_F21FTSEUHT1241/samples/KA5/post_tarean/satminer/report/rich_table.tsv	KA5	Aegilops_caudata_markgrafii		3	1	Putative satellites (high confidence)	553	0.17	3.3344827586206898	2.8	0.7	7.790000000000002
SMPL=KA5|ORG=Aegilops_caudata_markgrafii|GENOMES=None|ITER=3|RANK=1|ORIG=CL6_TR_1_x_323nt	sample	KA5	projects/triticeae_F21FTSEUHT1241/samples/KA5/post_tarean/satminer/report/rich_table.tsv	KA5	Aegilops_caudata_markgrafii		3	1	Putative satellites (high confidence)	323	0.03	7.35	6.25	0.7	15.5
SMPL=KA5|ORG=Aegilops_caudata_markgrafii|GENOMES=None|ITER=3|RANK=2|ORIG=CL3_TR_1_x_74nt	sample	KA5	projects/triticeae_F21FTSEUHT1241/samples/KA5/post_tarean/satminer/report/rich_table.tsv	KA5	Aegilops_caudata_markgrafii		3	2	Putative satellites (low confidence)	74	0.32	5.995031055900621	5.8	0.0	11.4
SMPL=KA5|ORG=Aegilops_caudata_markgrafii|GENOMES=None|ITER=3|RANK=2|ORIG=CL9_TR_1_x_247nt	sample	KA5	projects/triticeae_F21FTSEUHT1241/samples/KA5/post_tarean/satminer/report/rich_table.tsv	KA5	Aegilops_caudata_markgrafii		3	2	Putative satellites (low confidence)	247	0.05	8.36923076923077	7.9	1.5	19.375
