repeat	subject_type	subject_id	source_rich_table	smpl	org	genomes	iter	rank	TAREAN_annotation	cons_len	size_pct	pdiv_mean	pdiv_median	pdiv_q05	pdiv_q95
SMPL=KA1|ORG=Aegilops_bicoris|GENOMES=None|ITER=1|RANK=1|ORIG=CL5_TR_1_x_118nt	sample	KA1	projects/triticeae_F21FTSEUHT1241/samples/KA1/post_tarean/satminer/report/rich_table.tsv	KA1	Aegilops_bicoris		1	1	Putative satellites (high confidence)	118	0.86	7.946386946386946	7.3	2.34	15.4
SMPL=KA1|ORG=Aegilops_bicoris|GENOMES=None|ITER=1|RANK=2|ORIG=CL103_TR_1_x_74nt	sample	KA1	projects/triticeae_F21FTSEUHT1241/samples/KA1/post_tarean/satminer/report/rich_table.tsv	KA1	Aegilops_bicoris		1	2	Putative satellites (low confidence)	74	0.17	8.583529411764706	8.1	2.9	16.279999999999998
SMPL=KA1|ORG=Aegilops_bicoris|GENOMES=None|ITER=1|RANK=2|ORIG=CL116_TR_1_x_337nt	sample	KA1	projects/triticeae_F21FTSEUHT1241/samples/KA1/post_tarean/satminer/report/rich_table.tsv	KA1	Aegilops_bicoris		1	2	Putative satellites (low confidence)	337	0.12	8.808064516129033	8.350000000000001	3.02	16.374999999999996
SMPL=KA1|ORG=Aegilops_bicoris|GENOMES=None|ITER=1|RANK=2|ORIG=CL146_TR_1_x_171nt	sample	KA1	projects/triticeae_F21FTSEUHT1241/samples/KA1/post_tarean/satminer/report/rich_table.tsv	KA1	Aegilops_bicoris		1	2	Putative satellites (low confidence)	171	0.08	8.888095238095238	7.5	2.7	19.675
SMPL=KA1|ORG=Aegilops_bicoris|GENOMES=None|ITER=1|RANK=2|ORIG=CL172_TR_1_x_247nt	sample	KA1	projects/triticeae_F21FTSEUHT1241/samples/KA1/post_tarean/satminer/report/rich_table.tsv	KA1	Aegilops_bicoris		1	2	Putative satellites (low confidence)	247	0.06	6.421875	4.300000000000001	0.0	17.27
SMPL=KA1|ORG=Aegilops_bicoris|GENOMES=None|ITER=1|RANK=2|ORIG=CL192_TR_1_x_31nt	sample	KA1	projects/triticeae_F21FTSEUHT1241/samples/KA1/post_tarean/satminer/report/rich_table.tsv	KA1	Aegilops_bicoris		1	2	Putative satellites (low confidence)	31	0.07	3.32972972972973	3.3	0.0	7.459999999999988
SMPL=KA1|ORG=Aegilops_bicoris|GENOMES=None|ITER=1|RANK=2|ORIG=CL25_TR_1_x_580nt	sample	KA1	projects/triticeae_F21FTSEUHT1241/samples/KA1/post_tarean/satminer/report/rich_table.tsv	KA1	Aegilops_bicoris		1	2	Putative satellites (low confidence)	580	0.6	10.91953642384106	10.15	2.41	20.379999999999995
SMPL=KA1|ORG=Aegilops_bicoris|GENOMES=None|ITER=1|RANK=2|ORIG=CL82_TR_1_x_333nt	sample	KA1	projects/triticeae_F21FTSEUHT1241/samples/KA1/post_tarean/satminer/report/rich_table.tsv	KA1	Aegilops_bicoris		1	2	Putative satellites (low confidence)	333	0.2	7.276237623762376	6.5	1.5	15.9
SMPL=KA1|ORG=Aegilops_bicoris|GENOMES=None|ITER=1|RANK=2|ORIG=CL98_TR_1_x_64nt	sample	KA1	projects/triticeae_F21FTSEUHT1241/samples/KA1/post_tarean/satminer/report/rich_table.tsv	KA1	Aegilops_bicoris		1	2	Putative satellites (low confidence)	64	0.17	10.91547619047619	10.4	3.515	20.0
SMPL=KA1|ORG=Aegilops_bicoris|GENOMES=None|ITER=1|RANK=3|ORIG=CL56_TR_1_x_503nt	sample	KA1	projects/triticeae_F21FTSEUHT1241/samples/KA1/post_tarean/satminer/report/rich_table.tsv	KA1	Aegilops_bicoris		1	3	Putative satellites (low confidence)	503	0.43	14.566976744186046	13.0	3.65	29.61999999999999
SMPL=KA1|ORG=Aegilops_bicoris|GENOMES=None|ITER=2|RANK=1|ORIG=CL1_TR_1_x_118nt	sample	KA1	projects/triticeae_F21FTSEUHT1241/samples/KA1/post_tarean/satminer/report/rich_table.tsv	KA1	Aegilops_bicoris		2	1	Putative satellites (high confidence)	118	0.95	11.031865828092243	10.8	4.98	18.0
SMPL=KA1|ORG=Aegilops_bicoris|GENOMES=None|ITER=2|RANK=1|ORIG=CL217_TR_1_x_46nt	sample	KA1	projects/triticeae_F21FTSEUHT1241/samples/KA1/post_tarean/satminer/report/rich_table.tsv	KA1	Aegilops_bicoris		2	1	Putative satellites (high confidence)	46	0.05	7.186956521739131	6.5	2.2	16.98999999999999
SMPL=KA1|ORG=Aegilops_bicoris|GENOMES=None|ITER=2|RANK=1|ORIG=CL60_TR_1_x_369nt	sample	KA1	projects/triticeae_F21FTSEUHT1241/samples/KA1/post_tarean/satminer/report/rich_table.tsv	KA1	Aegilops_bicoris		2	1	Putative satellites (high confidence)	369	0.01	5.1	4.7	2.8400000000000003	7.74
SMPL=KA1|ORG=Aegilops_bicoris|GENOMES=None|ITER=2|RANK=2|ORIG=CL161_TR_1_x_119nt	sample	KA1	projects/triticeae_F21FTSEUHT1241/samples/KA1/post_tarean/satminer/report/rich_table.tsv	KA1	Aegilops_bicoris		2	2	Putative satellites (low confidence)	119	0.12	14.145762711864409	13.1	2.250000000000001	26.36
SMPL=KA1|ORG=Aegilops_bicoris|GENOMES=None|ITER=2|RANK=2|ORIG=CL196_TR_1_x_187nt	sample	KA1	projects/triticeae_F21FTSEUHT1241/samples/KA1/post_tarean/satminer/report/rich_table.tsv	KA1	Aegilops_bicoris		2	2	Putative satellites (low confidence)	187	0.04	9.485	7.25	3.5650000000000004	21.2
SMPL=KA1|ORG=Aegilops_bicoris|GENOMES=None|ITER=2|RANK=2|ORIG=CL31_TR_1_x_866nt	sample	KA1	projects/triticeae_F21FTSEUHT1241/samples/KA1/post_tarean/satminer/report/rich_table.tsv	KA1	Aegilops_bicoris		2	2	Putative satellites (low confidence)	866	0.08	12.375	8.0	1.3949999999999998	31.93999999999999
SMPL=KA1|ORG=Aegilops_bicoris|GENOMES=None|ITER=3|RANK=1|ORIG=CL1_TR_1_x_118nt	sample	KA1	projects/triticeae_F21FTSEUHT1241/samples/KA1/post_tarean/satminer/report/rich_table.tsv	KA1	Aegilops_bicoris		3	1	Putative satellites (high confidence)	118	0.44	9.74181818181818	9.5	5.075	15.644999999999984
SMPL=KA1|ORG=Aegilops_bicoris|GENOMES=None|ITER=3|RANK=1|ORIG=CL6_TR_1_x_369nt	sample	KA1	projects/triticeae_F21FTSEUHT1241/samples/KA1/post_tarean/satminer/report/rich_table.tsv	KA1	Aegilops_bicoris		3	1	Putative satellites (high confidence)	369	0.02	4.9375	4.7	2.49	7.09
SMPL=KA1|ORG=Aegilops_bicoris|GENOMES=None|ITER=3|RANK=2|ORIG=CL56_TR_1_x_46nt	sample	KA1	projects/triticeae_F21FTSEUHT1241/samples/KA1/post_tarean/satminer/report/rich_table.tsv	KA1	Aegilops_bicoris		3	2	Putative satellites (low confidence)	46	0.04	7.054545454545454	6.6	2.2	13.3
SMPL=KA2|ORG=Aegilops_sharonesis|GENOMES=None|ITER=1|RANK=1|ORIG=CL1_TR_1_x_118nt	sample	KA2	projects/triticeae_F21FTSEUHT1241/samples/KA2/post_tarean/satminer/report/rich_table.tsv	KA2	Aegilops_sharonesis		1	1	Putative satellites (high confidence)	118	1.38	8.85355587808418	8.5	3.4000000000000004	15.760000000000002
SMPL=KA2|ORG=Aegilops_sharonesis|GENOMES=None|ITER=1|RANK=1|ORIG=CL68_TR_1_x_376nt	sample	KA2	projects/triticeae_F21FTSEUHT1241/samples/KA2/post_tarean/satminer/report/rich_table.tsv	KA2	Aegilops_sharonesis		1	1	Putative satellites (high confidence)	376	0.05	4.279166666666667	4.35	0.1950000000000001	8.399999999999995
SMPL=KA2|ORG=Aegilops_sharonesis|GENOMES=None|ITER=1|RANK=1|ORIG=CL91_TR_1_x_663nt	sample	KA2	projects/triticeae_F21FTSEUHT1241/samples/KA2/post_tarean/satminer/report/rich_table.tsv	KA2	Aegilops_sharonesis		1	1	Putative satellites (high confidence)	663	0.05	5.16	5.6	1.62	9.9
SMPL=KA2|ORG=Aegilops_sharonesis|GENOMES=None|ITER=1|RANK=2|ORIG=CL133_TR_1_x_247nt	sample	KA2	projects/triticeae_F21FTSEUHT1241/samples/KA2/post_tarean/satminer/report/rich_table.tsv	KA2	Aegilops_sharonesis		1	2	Putative satellites (low confidence)	247	0.09	7.474468085106383	5.3	0.0	17.740000000000002
SMPL=KA2|ORG=Aegilops_sharonesis|GENOMES=None|ITER=1|RANK=2|ORIG=CL143_TR_1_x_122nt	sample	KA2	projects/triticeae_F21FTSEUHT1241/samples/KA2/post_tarean/satminer/report/rich_table.tsv	KA2	Aegilops_sharonesis		1	2	Putative satellites (low confidence)	122	0.09	6.608888888888888	6.4	2.0	11.439999999999998
