repeat	subject_type	subject_id	source_rich_table
SMPL=KA1|ORG=Aegilops_bicoris|GENOMES=None|ITER=1|RANK=2|ORIG=CL146_TR_1_x_171nt	sample	KA1	projects/triticeae_F21FTSEUHT1241/samples/KA1/post_tarean/satminer/report/rich_table.tsv
SMPL=KA1|ORG=Aegilops_bicoris|GENOMES=None|ITER=2|RANK=2|ORIG=CL31_TR_1_x_866nt	sample	KA1	projects/triticeae_F21FTSEUHT1241/samples/KA1/post_tarean/satminer/report/rich_table.tsv
SMPL=KA1|ORG=Aegilops_bicoris|GENOMES=None|ITER=1|RANK=2|ORIG=CL192_TR_1_x_31nt	sample	KA1	projects/triticeae_F21FTSEUHT1241/samples/KA1/post_tarean/satminer/report/rich_table.tsv
SMPL=KA1|ORG=Aegilops_bicoris|GENOMES=None|ITER=1|RANK=2|ORIG=CL172_TR_1_x_247nt	sample	KA1	projects/triticeae_F21FTSEUHT1241/samples/KA1/post_tarean/satminer/report/rich_table.tsv
SMPL=KA1|ORG=Aegilops_bicoris|GENOMES=None|ITER=2|RANK=1|ORIG=CL217_TR_1_x_46nt	sample	KA1	projects/triticeae_F21FTSEUHT1241/samples/KA1/post_tarean/satminer/report/rich_table.tsv
SMPL=KA1|ORG=Aegilops_bicoris|GENOMES=None|ITER=3|RANK=2|ORIG=CL56_TR_1_x_46nt	sample	KA1	projects/triticeae_F21FTSEUHT1241/samples/KA1/post_tarean/satminer/report/rich_table.tsv
SMPL=KA1|ORG=Aegilops_bicoris|GENOMES=None|ITER=2|RANK=2|ORIG=CL196_TR_1_x_187nt	sample	KA1	projects/triticeae_F21FTSEUHT1241/samples/KA1/post_tarean/satminer/report/rich_table.tsv
SMPL=KA1|ORG=Aegilops_bicoris|GENOMES=None|ITER=3|RANK=1|ORIG=CL6_TR_1_x_369nt	sample	KA1	projects/triticeae_F21FTSEUHT1241/samples/KA1/post_tarean/satminer/report/rich_table.tsv
SMPL=KA1|ORG=Aegilops_bicoris|GENOMES=None|ITER=1|RANK=1|ORIG=CL195_TR_1_x_371nt	sample	KA1	projects/triticeae_F21FTSEUHT1241/samples/KA1/post_tarean/satminer/report/rich_table.tsv
SMPL=KA1|ORG=Aegilops_bicoris|GENOMES=None|ITER=2|RANK=1|ORIG=CL60_TR_1_x_369nt	sample	KA1	projects/triticeae_F21FTSEUHT1241/samples/KA1/post_tarean/satminer/report/rich_table.tsv
SMPL=KA2|ORG=Aegilops_sharonesis|GENOMES=None|ITER=2|RANK=1|ORIG=CL1_TR_1_x_118nt	sample	KA2	projects/triticeae_F21FTSEUHT1241/samples/KA2/post_tarean/satminer/report/rich_table.tsv
SMPL=KA2|ORG=Aegilops_sharonesis|GENOMES=None|ITER=1|RANK=1|ORIG=CL1_TR_1_x_118nt	sample	KA2	projects/triticeae_F21FTSEUHT1241/samples/KA2/post_tarean/satminer/report/rich_table.tsv
SMPL=KA2|ORG=Aegilops_sharonesis|GENOMES=None|ITER=3|RANK=1|ORIG=CL1_TR_1_x_118nt	sample	KA2	projects/triticeae_F21FTSEUHT1241/samples/KA2/post_tarean/satminer/report/rich_table.tsv
SMPL=KA2|ORG=Aegilops_sharonesis|GENOMES=None|ITER=3|RANK=1|ORIG=CL2_TR_1_x_376nt	sample	KA2	projects/triticeae_F21FTSEUHT1241/samples/KA2/post_tarean/satminer/report/rich_table.tsv
SMPL=KA2|ORG=Aegilops_sharonesis|GENOMES=None|ITER=1|RANK=2|ORIG=CL133_TR_1_x_247nt	sample	KA2	projects/triticeae_F21FTSEUHT1241/samples/KA2/post_tarean/satminer/report/rich_table.tsv
SMPL=KA2|ORG=Aegilops_sharonesis|GENOMES=None|ITER=1|RANK=2|ORIG=CL143_TR_1_x_122nt	sample	KA2	projects/triticeae_F21FTSEUHT1241/samples/KA2/post_tarean/satminer/report/rich_table.tsv
SMPL=KA2|ORG=Aegilops_sharonesis|GENOMES=None|ITER=1|RANK=2|ORIG=CL164_TR_1_x_90nt	sample	KA2	projects/triticeae_F21FTSEUHT1241/samples/KA2/post_tarean/satminer/report/rich_table.tsv
SMPL=KA2|ORG=Aegilops_sharonesis|GENOMES=None|ITER=3|RANK=2|ORIG=CL3_TR_1_x_663nt	sample	KA2	projects/triticeae_F21FTSEUHT1241/samples/KA2/post_tarean/satminer/report/rich_table.tsv
SMPL=KA2|ORG=Aegilops_sharonesis|GENOMES=None|ITER=1|RANK=2|ORIG=CL156_TR_1_x_152nt	sample	KA2	projects/triticeae_F21FTSEUHT1241/samples/KA2/post_tarean/satminer/report/rich_table.tsv
SMPL=KA2|ORG=Aegilops_sharonesis|GENOMES=None|ITER=1|RANK=2|ORIG=CL173_TR_1_x_326nt	sample	KA2	projects/triticeae_F21FTSEUHT1241/samples/KA2/post_tarean/satminer/report/rich_table.tsv
SMPL=KA2|ORG=Aegilops_sharonesis|GENOMES=None|ITER=1|RANK=1|ORIG=CL91_TR_1_x_663nt	sample	KA2	projects/triticeae_F21FTSEUHT1241/samples/KA2/post_tarean/satminer/report/rich_table.tsv
SMPL=KA2|ORG=Aegilops_sharonesis|GENOMES=None|ITER=1|RANK=1|ORIG=CL68_TR_1_x_376nt	sample	KA2	projects/triticeae_F21FTSEUHT1241/samples/KA2/post_tarean/satminer/report/rich_table.tsv
SMPL=KA2|ORG=Aegilops_sharonesis|GENOMES=None|ITER=2|RANK=1|ORIG=CL2_TR_1_x_376nt	sample	KA2	projects/triticeae_F21FTSEUHT1241/samples/KA2/post_tarean/satminer/report/rich_table.tsv
SMPL=KA2|ORG=Aegilops_sharonesis|GENOMES=None|ITER=2|RANK=1|ORIG=CL57_TR_1_x_44nt	sample	KA2	projects/triticeae_F21FTSEUHT1241/samples/KA2/post_tarean/satminer/report/rich_table.tsv
SMPL=KA2|ORG=Aegilops_sharonesis|GENOMES=None|ITER=2|RANK=1|ORIG=CL5_TR_1_x_662nt	sample	KA2	projects/triticeae_F21FTSEUHT1241/samples/KA2/post_tarean/satminer/report/rich_table.tsv
SMPL=KA2|ORG=Aegilops_sharonesis|GENOMES=None|ITER=3|RANK=1|ORIG=CL24_TR_1_x_44nt	sample	KA2	projects/triticeae_F21FTSEUHT1241/samples/KA2/post_tarean/satminer/report/rich_table.tsv
SMPL=KA3|ORG=Aegilops_kotschyi|GENOMES=None|ITER=3|RANK=1|ORIG=CL1_TR_1_x_118nt	sample	KA3	projects/triticeae_F21FTSEUHT1241/samples/KA3/post_tarean/satminer/report/rich_table.tsv
SMPL=KA3|ORG=Aegilops_kotschyi|GENOMES=None|ITER=2|RANK=1|ORIG=CL1_TR_1_x_118nt	sample	KA3	projects/triticeae_F21FTSEUHT1241/samples/KA3/post_tarean/satminer/report/rich_table.tsv
SMPL=KA3|ORG=Aegilops_kotschyi|GENOMES=None|ITER=1|RANK=3|ORIG=CL25_TR_1_x_551nt	sample	KA3	projects/triticeae_F21FTSEUHT1241/samples/KA3/post_tarean/satminer/report/rich_table.tsv
SMPL=KA3|ORG=Aegilops_kotschyi|GENOMES=None|ITER=1|RANK=1|ORIG=CL12_TR_1_x_118nt	sample	KA3	projects/triticeae_F21FTSEUHT1241/samples/KA3/post_tarean/satminer/report/rich_table.tsv
SMPL=KA3|ORG=Aegilops_kotschyi|GENOMES=None|ITER=1|RANK=2|ORIG=CL58_TR_1_x_504nt	sample	KA3	projects/triticeae_F21FTSEUHT1241/samples/KA3/post_tarean/satminer/report/rich_table.tsv
SMPL=KA3|ORG=Aegilops_kotschyi|GENOMES=None|ITER=1|RANK=2|ORIG=CL94_TR_1_x_74nt	sample	KA3	projects/triticeae_F21FTSEUHT1241/samples/KA3/post_tarean/satminer/report/rich_table.tsv
SMPL=KA3|ORG=Aegilops_kotschyi|GENOMES=None|ITER=1|RANK=1|ORIG=CL144_TR_1_x_119nt	sample	KA3	projects/triticeae_F21FTSEUHT1241/samples/KA3/post_tarean/satminer/report/rich_table.tsv
SMPL=KA3|ORG=Aegilops_kotschyi|GENOMES=None|ITER=1|RANK=2|ORIG=CL193_TR_1_x_44nt	sample	KA3	projects/triticeae_F21FTSEUHT1241/samples/KA3/post_tarean/satminer/report/rich_table.tsv
SMPL=KA3|ORG=Aegilops_kotschyi|GENOMES=None|ITER=1|RANK=4|ORIG=CL131_TR_1_x_411nt	sample	KA3	projects/triticeae_F21FTSEUHT1241/samples/KA3/post_tarean/satminer/report/rich_table.tsv
SMPL=KA3|ORG=Aegilops_kotschyi|GENOMES=None|ITER=1|RANK=2|ORIG=CL130_TR_1_x_338nt	sample	KA3	projects/triticeae_F21FTSEUHT1241/samples/KA3/post_tarean/satminer/report/rich_table.tsv
SMPL=KA3|ORG=Aegilops_kotschyi|GENOMES=None|ITER=1|RANK=2|ORIG=CL162_TR_1_x_184nt	sample	KA3	projects/triticeae_F21FTSEUHT1241/samples/KA3/post_tarean/satminer/report/rich_table.tsv
SMPL=KA3|ORG=Aegilops_kotschyi|GENOMES=None|ITER=2|RANK=2|ORIG=CL33_TR_1_x_90nt	sample	KA3	projects/triticeae_F21FTSEUHT1241/samples/KA3/post_tarean/satminer/report/rich_table.tsv
